pressure_bar,PC_lat-49.3,PC_lat-46.2,PC_lat-43.0,PC_lat-39.9,PC_lat-36.8,PC_lat-33.9,PC_lat-31.1,PC_lat-28.3,PC_lat-25.6,PC_lat-23.0,PC_lat-20.4,PC_lat-17.9,PC_lat-15.4,PC_lat-12.9,PC_lat-10.5,PC_lat-8.1,PC_lat-5.7,PC_lat-3.3,PC_lat-0.9,PC_lat+1.5,PC_lat+3.9,PC_lat+6.3,PC_lat+8.7,PC_lat+11.1,PC_lat+13.6,PC_lat+16.0,PC_lat+18.5,PC_lat+21.1,PC_lat+23.6,PC_lat+26.3,PC_lat+29.0,PC_lat+31.7,PC_lat+34.6,PC_lat+37.6,PC_lat+40.6,PC_lat+43.8,PC_lat+47.0
6.20598,2.1855e-05,2.0053e-05,2.2923e-05,2.0974e-05,2.1359e-05,2.3749e-05,2.0477e-05,2.2417e-05,2.1132e-05,2.1235e-05,2.2245e-05,2.2807e-05,2.4530e-05,2.3651e-05,2.3405e-05,2.1377e-05,2.1533e-05,2.3101e-05,2.3628e-05,3.1662e-05,3.4479e-05,3.3563e-05,2.1197e-05,2.0778e-05,1.8736e-05,1.6579e-05,1.7315e-05,2.3184e-05,2.3129e-05,2.1833e-05,2.0901e-05,2.0029e-05,2.3395e-05,2.0848e-05,2.1160e-05,2.1708e-05,2.2015e-05
6.29255,2.1823e-05,2.0017e-05,2.2947e-05,2.0972e-05,2.1368e-05,2.3776e-05,2.0446e-05,2.2421e-05,2.1122e-05,2.1165e-05,2.2230e-05,2.2817e-05,2.4574e-05,2.3668e-05,2.3424e-05,2.1401e-05,2.1512e-05,2.3068e-05,2.3665e-05,3.1682e-05,3.4402e-05,3.3596e-05,2.1308e-05,2.0875e-05,1.8812e-05,1.6632e-05,1.7359e-05,2.3172e-05,2.3079e-05,2.1798e-05,2.0847e-05,1.9993e-05,2.3409e-05,2.0840e-05,2.1110e-05,2.1699e-05,2.2009e-05
6.38032,2.1789e-05,1.9982e-05,2.2971e-05,2.0970e-05,2.1376e-05,2.3803e-05,2.0416e-05,2.2424e-05,2.1112e-05,2.1095e-05,2.2215e-05,2.2826e-05,2.4618e-05,2.3685e-05,2.3443e-05,2.1424e-05,2.1491e-05,2.3035e-05,2.3701e-05,3.1702e-05,3.4326e-05,3.3629e-05,2.1420e-05,2.0972e-05,1.8887e-05,1.6685e-05,1.7404e-05,2.3159e-05,2.3029e-05,2.1762e-05,2.0793e-05,1.9958e-05,2.3423e-05,2.0831e-05,2.1061e-05,2.1689e-05,2.2005e-05
6.46932,2.1757e-05,1.9948e-05,2.2994e-05,2.0968e-05,2.1385e-05,2.3831e-05,2.0384e-05,2.2428e-05,2.1102e-05,2.1025e-05,2.2200e-05,2.2836e-05,2.4662e-05,2.3703e-05,2.3461e-05,2.1448e-05,2.1471e-05,2.3001e-05,2.3737e-05,3.1723e-05,3.4248e-05,3.3661e-05,2.1533e-05,2.1070e-05,1.8962e-05,1.6738e-05,1.7448e-05,2.3147e-05,2.2977e-05,2.1726e-05,2.0738e-05,1.9922e-05,2.3438e-05,2.0821e-05,2.1012e-05,2.1679e-05,2.2000e-05
6.55956,2.1723e-05,1.9912e-05,2.3018e-05,2.0965e-05,2.1394e-05,2.3858e-05,2.0353e-05,2.2432e-05,2.1093e-05,2.0955e-05,2.2186e-05,2.2847e-05,2.4706e-05,2.3720e-05,2.3480e-05,2.1471e-05,2.1450e-05,2.2968e-05,2.3773e-05,3.1743e-05,3.4172e-05,3.3694e-05,2.1645e-05,2.1167e-05,1.9037e-05,1.6791e-05,1.7492e-05,2.3135e-05,2.2927e-05,2.1690e-05,2.0684e-05,1.9887e-05,2.3452e-05,2.0813e-05,2.0963e-05,2.1670e-05,2.1995e-05
6.65106,2.1690e-05,1.9877e-05,2.3042e-05,2.0962e-05,2.1402e-05,2.3885e-05,2.0322e-05,2.2436e-05,2.1082e-05,2.0885e-05,2.2170e-05,2.2857e-05,2.4750e-05,2.3737e-05,2.3499e-05,2.1494e-05,2.1430e-05,2.2935e-05,2.3809e-05,3.1763e-05,3.4095e-05,3.3727e-05,2.1756e-05,2.1264e-05,1.9113e-05,1.6844e-05,1.7537e-05,2.3122e-05,2.2877e-05,2.1655e-05,2.0630e-05,1.9851e-05,2.3466e-05,2.0804e-05,2.0914e-05,2.1661e-05,2.1990e-05
6.74384,2.1657e-05,1.9841e-05,2.3066e-05,2.0960e-05,2.1412e-05,2.3911e-05,2.0291e-05,2.2440e-05,2.1072e-05,2.0815e-05,2.2155e-05,2.2867e-05,2.4795e-05,2.3755e-05,2.3517e-05,2.1518e-05,2.1410e-05,2.2901e-05,2.3845e-05,3.1784e-05,3.4018e-05,3.3760e-05,2.1868e-05,2.1361e-05,1.9188e-05,1.6897e-05,1.7582e-05,2.3110e-05,2.2826e-05,2.1619e-05,2.0575e-05,1.9816e-05,2.3481e-05,2.0795e-05,2.0864e-05,2.1650e-05,2.1985e-05
6.83791,2.1624e-05,1.9806e-05,2.3089e-05,2.0957e-05,2.1420e-05,2.3938e-05,2.0260e-05,2.2444e-05,2.1063e-05,2.0744e-05,2.2140e-05,2.2878e-05,2.4839e-05,2.3772e-05,2.3536e-05,2.1541e-05,2.1390e-05,2.2868e-05,2.3881e-05,3.1804e-05,3.3941e-05,3.3792e-05,2.1980e-05,2.1458e-05,1.9263e-05,1.6950e-05,1.7626e-05,2.3097e-05,2.2775e-05,2.1583e-05,2.0521e-05,1.9782e-05,2.3495e-05,2.0786e-05,2.0815e-05,2.1641e-05,2.1980e-05
6.93329,2.1591e-05,1.9770e-05,2.3113e-05,2.0956e-05,2.1429e-05,2.3965e-05,2.0229e-05,2.2448e-05,2.1053e-05,2.0674e-05,2.2125e-05,2.2887e-05,2.4882e-05,2.3790e-05,2.3555e-05,2.1564e-05,2.1369e-05,2.2835e-05,2.3918e-05,3.1824e-05,3.3864e-05,3.3825e-05,2.2092e-05,2.1555e-05,1.9339e-05,1.7004e-05,1.7670e-05,2.3085e-05,2.2725e-05,2.1547e-05,2.0467e-05,1.9746e-05,2.3510e-05,2.0777e-05,2.0765e-05,2.1632e-05,2.1975e-05
7.03,2.1558e-05,1.9736e-05,2.3137e-05,2.0953e-05,2.1438e-05,2.3992e-05,2.0198e-05,2.2451e-05,2.1042e-05,2.0604e-05,2.2110e-05,2.2897e-05,2.4927e-05,2.3806e-05,2.3573e-05,2.1588e-05,2.1348e-05,2.2801e-05,2.3953e-05,3.1844e-05,3.3788e-05,3.3859e-05,2.2203e-05,2.1652e-05,1.9414e-05,1.7057e-05,1.7715e-05,2.3071e-05,2.2674e-05,2.1511e-05,2.0413e-05,1.9711e-05,2.3524e-05,2.0768e-05,2.0717e-05,2.1622e-05,2.1970e-05
