pressure_bar,PC_lat-49.3,PC_lat-46.2,PC_lat-43.0,PC_lat-39.9,PC_lat-36.8,PC_lat-33.9,PC_lat-31.1,PC_lat-28.3,PC_lat-25.6,PC_lat-23.0,PC_lat-20.4,PC_lat-17.9,PC_lat-15.4,PC_lat-12.9,PC_lat-10.5,PC_lat-8.1,PC_lat-5.7,PC_lat-3.3,PC_lat-0.9,PC_lat+1.5,PC_lat+3.9,PC_lat+6.3,PC_lat+8.7,PC_lat+11.1,PC_lat+13.6,PC_lat+16.0,PC_lat+18.5,PC_lat+21.1,PC_lat+23.6,PC_lat+26.3,PC_lat+29.0,PC_lat+31.7,PC_lat+34.6,PC_lat+37.6,PC_lat+40.6,PC_lat+43.8,PC_lat+47.0
0.133764,3.2455e-07,1.3363e-07,2.9632e-07,2.7567e-07,2.2560e-07,2.1143e-07,3.3232e-07,2.6740e-07,1.8485e-07,1.0010e-07,1.1883e-07,7.2488e-08,7.2096e-08,9.7518e-08,2.0177e-07,2.6490e-07,4.2363e-07,2.5959e-07,1.1770e-07,2.8882e-07,1.9804e-07,1.4849e-07,5.1968e-08,1.2948e-07,1.1234e-07,2.2642e-07,3.0268e-07,1.8218e-07,1.3986e-07,2.7730e-07,2.1870e-07,2.7819e-07,2.4738e-07,3.3992e-07,2.4192e-07,3.1353e-07,2.3562e-07
0.13563,3.2455e-07,1.3720e-07,2.9632e-07,2.7567e-07,2.2591e-07,2.1221e-07,3.3387e-07,2.6859e-07,1.8655e-07,1.0237e-07,1.2064e-07,7.4502e-08,7.3743e-08,9.9009e-08,2.0623e-07,2.6850e-07,4.2735e-07,2.6420e-07,1.1991e-07,2.9709e-07,1.9832e-07,1.5224e-07,5.3315e-08,1.3317e-07,1.1422e-07,2.2693e-07,3.0395e-07,1.8400e-07,1.4182e-07,2.7850e-07,2.1963e-07,2.7841e-07,2.5506e-07,3.4176e-07,2.4192e-07,3.1358e-07,2.3562e-07
0.137522,3.2455e-07,1.4085e-07,2.9632e-07,2.7567e-07,2.2622e-07,2.1298e-07,3.3542e-07,2.6979e-07,1.8827e-07,1.0469e-07,1.2247e-07,7.6567e-08,7.5425e-08,1.0052e-07,2.1078e-07,2.7214e-07,4.3110e-07,2.6888e-07,1.2216e-07,3.0559e-07,1.9860e-07,1.5608e-07,5.4695e-08,1.3697e-07,1.1613e-07,2.2744e-07,3.0522e-07,1.8584e-07,1.4379e-07,2.7970e-07,2.2057e-07,2.7863e-07,2.6297e-07,3.4360e-07,2.4192e-07,3.1363e-07,2.3562e-07
0.13944,3.2455e-07,1.4460e-07,2.9632e-07,2.7567e-07,2.2653e-07,2.1376e-07,3.3698e-07,2.6991e-07,1.9000e-07,1.0706e-07,1.2432e-07,7.8686e-08,7.7143e-08,1.0205e-07,2.1542e-07,2.7582e-07,4.3487e-07,2.7364e-07,1.2445e-07,3.1431e-07,1.9888e-07,1.6000e-07,5.6108e-08,1.4086e-07,1.1806e-07,2.2795e-07,3.0649e-07,1.8769e-07,1.4579e-07,2.8090e-07,2.2151e-07,2.7885e-07,2.7111e-07,3.4545e-07,2.4192e-07,3.1368e-07,2.3562e-07
0.141385,3.2455e-07,1.4844e-07,2.9632e-07,2.7567e-07,2.2684e-07,2.1454e-07,3.3854e-07,2.6991e-07,1.9174e-07,1.0948e-07,1.2620e-07,8.0859e-08,7.8897e-08,1.0360e-07,2.2015e-07,2.7954e-07,4.3867e-07,2.7847e-07,1.2678e-07,3.2326e-07,1.9916e-07,1.6402e-07,5.7555e-08,1.4486e-07,1.2003e-07,2.2846e-07,3.0777e-07,1.8956e-07,1.4782e-07,2.8211e-07,2.2245e-07,2.7907e-07,2.7949e-07,3.4730e-07,2.4192e-07,3.1372e-07,2.3562e-07
0.143357,3.2455e-07,1.5238e-07,2.9632e-07,2.7567e-07,2.2715e-07,2.1532e-07,3.4011e-07,2.6991e-07,1.9350e-07,1.1194e-07,1.2811e-07,8.3088e-08,8.0687e-08,1.0518e-07,2.2498e-07,2.8331e-07,4.4249e-07,2.8338e-07,1.2914e-07,3.3245e-07,1.9944e-07,1.6813e-07,5.9036e-08,1.4896e-07,1.2203e-07,2.2897e-07,3.0904e-07,1.9144e-07,1.4987e-07,2.8332e-07,2.2339e-07,2.7928e-07,2.8810e-07,3.4916e-07,2.4192e-07,3.1377e-07,2.3562e-07
0.145357,3.2455e-07,1.5641e-07,2.9632e-07,2.7567e-07,2.2746e-07,2.1610e-07,3.4168e-07,2.6991e-07,1.9527e-07,1.1446e-07,1.3004e-07,8.5374e-08,8.2514e-08,1.0677e-07,2.2991e-07,2.8713e-07,4.4635e-07,2.8837e-07,1.3155e-07,3.4188e-07,1.9971e-07,1.7234e-07,6.0552e-08,1.5317e-07,1.2405e-07,2.2948e-07,3.1032e-07,1.9334e-07,1.5194e-07,2.8453e-07,2.2433e-07,2.7950e-07,2.9696e-07,3.5102e-07,2.4192e-07,3.1381e-07,2.3562e-07
0.147385,3.2456e-07,1.6054e-07,2.9632e-07,2.7567e-07,2.2776e-07,2.1688e-07,3.4325e-07,2.6991e-07,1.9705e-07,1.1703e-07,1.3199e-07,8.7719e-08,8.4380e-08,1.0839e-07,2.3493e-07,2.9098e-07,4.5022e-07,2.9343e-07,1.3399e-07,3.5156e-07,1.9999e-07,1.7664e-07,6.2105e-08,1.5749e-07,1.2611e-07,2.2998e-07,3.1161e-07,1.9525e-07,1.5404e-07,2.8574e-07,2.2528e-07,2.7958e-07,3.0608e-07,3.5290e-07,2.4192e-07,3.1385e-07,2.3562e-07
0.14944,3.2456e-07,1.6445e-07,2.9632e-07,2.7567e-07,2.2812e-07,2.1757e-07,3.4440e-07,2.6991e-07,1.9857e-07,1.1960e-07,1.3414e-07,9.0327e-08,8.6494e-08,1.1022e-07,2.4075e-07,2.9574e-07,4.5563e-07,2.9889e-07,1.3630e-07,3.6150e-07,2.0012e-07,1.8086e-07,6.3558e-08,1.6190e-07,1.2800e-07,2.3019e-07,3.1266e-07,1.9706e-07,1.5612e-07,2.8660e-07,2.2602e-07,2.7958e-07,3.1564e-07,3.5457e-07,2.4192e-07,3.1398e-07,2.3562e-07
0.151525,3.2456e-07,1.6824e-07,2.9632e-07,2.7567e-07,2.2850e-07,2.1820e-07,3.4527e-07,2.6991e-07,1.9990e-07,1.2216e-07,1.3643e-07,9.3147e-08,8.8799e-08,1.1220e-07,2.4717e-07,3.0113e-07,4.6211e-07,3.0464e-07,1.3852e-07,3.7170e-07,2.0014e-07,1.8505e-07,6.4951e-08,1.6642e-07,1.2980e-07,2.3020e-07,3.1356e-07,1.9881e-07,1.5820e-07,2.8722e-07,2.2664e-07,2.7958e-07,3.2561e-07,3.5612e-07,2.4192e-07,3.1417e-07,2.3562e-07
